"gwa.id" "Genet" "SerialNo" "Unique.ID" "Block" "Row" "Position" "Latitude" "Longitude" "Min.per.Tree" "Harmandia" "Phyllocolpa" "Petiole.Gall" "Leaf.Edge.Mine" "Blotch.Mine" "Lombardy.Mine" "Weevil.Mine" "Blackmine" "Cottonwood.Leaf.Mine" "Casebearer.Moth" "Leafhoppers" "Green.Aphids" "Smokey.Aphids" "Ants" "Pale.Green.Notodontid" "Aspen.Leaf.Beetle" "Green.Sawfly" "Cotton.Scale" "Survey.Year" "survey.event" "Date" "Sex.Genet" "PlantingDate" "Volume" "ALA.all" "SLA.all" "BBreakDegDay.all" "EFNMean.all" "CTsum" "PGsum" "Npct.all" "Cpct.all" "thunderstorm.event" "avg.temp_F" "rain.event" "fog.event"
"UME_303602_P12_WA01" "388" "1300" "1300_jun16" "4" "E" "12" 45.63880153 -89.56414379 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 37.3 12.6 151.47 157.5 0.08 9.26 4.83 NA NA "1" 69 "0" "0"
"UME_303602_P09_WB03" "18" "1332" "1332_jun16" "4" "F" "16" 43.55282512 -89.56943894 9 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 26.2 13.97 139.1 239.5 0.17 15.95 3.54 NA NA "1" 69 "0" "0"
"UME_303602_P09_WH04" "136" "1376" "1376_jun16" "4" "H" "4" 45.19068063 -89.56484119 9 0 8 0 0 0 2 0 0 0 0 0 20 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 50.4 16.98 140.7 207.5 0.25 4.52 7.09 NA NA "1" 69 "0" "0"
"UME_303602_P10_WE08" "206" "1388" "1388_jun16" "4" "H" "16" 45.8600543 -89.56414379 8 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 21.3 14 145.98 239.5 0.58 8.69 8.66 NA NA "1" 69 "0" "0"
"UME_303602_P09_WH08" "141" "1270" "1270_jun16" "4" "D" "10" 45.19191332 -89.56484119 8 0 1 0 0 0 1 0 0 0 2 3 0 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 51.1 16.61 136.78 207.5 0.33 9.08 8.72 NA NA "1" 69 "0" "0"
"UME_303602_P10_WF10" "222" "1357" "1357_jun16" "4" "G" "13" 45.86338989 -89.56414379 5 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 15.9 12.53 146.31 239.5 0 11.88 2.88 NA NA "1" 69 "0" "0"
"UME_303602_P11_WC07" "297" "1269" "1269_jun16" "4" "D" "9" 45.84327609 -89.56414379 8 1 12 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 32 11.02 150.95 239.5 0.25 10.44 4.14 NA NA "1" 69 "0" "0"
"UME_303602_P10_WC11" "184" "1358" "1358_jun16" "4" "G" "14" 45.83377692 -89.56414379 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 14.8 14.73 145.91 182.9 0.83 10.91 4.41 NA NA "1" 69 "0" "0"
"UME_303602_P09_WG07" "122" "1360" "1360_jun16" "4" "G" "16" 45.26477747 -89.56484119 10 2 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 42 12.94 145.84 239.5 1.25 12.29 5.12 NA NA "1" 69 "0" "0"
"UME_303602_P09_WF06" "101" "1238" "1238_jun16" "4" "C" "6" 45.27846632 -89.56484119 10 0 7 0 0 0 1 0 0 0 0 0 3 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 26.8 13.2 154.89 212.8 0.33 10.35 1.58 NA NA "1" 69 "0" "0"
