"index","column.name","corresponding.MD.names","variable.type","note"
1,"Genet","Genet","",""
2,"id","id","",""
3,"SerialNo","SerialNo","",""
4,"Unique.ID","Unique.ID","",""
5,"Block","Block","",""
6,"Row","Row","",""
7,"Position","Position","",""
8,"Latitude","Latitude","",""
9,"Longitude","Longitude","",""
10,"Min.per.Tree","Min.per.Tree","",""
11,"Harmandia","Harmandia","",""
12,"Phyllocolpa","Phyllocolpa","",""
13,"Petiole.Gall","Petiole.Gall","",""
14,"Leaf.Edge.Mine","Leaf.Edge.Mine","",""
15,"Blotch.Mine","Blotch.Mine","",""
16,"Lombardy.Mine","Lombardy.Mine","",""
17,"Weevil.Mine","Weevil.Mine","",""
18,"Blackmine","Blackmine","",""
19,"Cottonwood.Leaf.Mine","Cottonwood.Leaf.Mine","",""
20,"Casebearer.Moth","Casebearer.Moth","",""
21,"Leafhoppers","Leafhoppers","",""
22,"Green.Aphids","Green.Aphids","",""
23,"Smokey.Aphids","Smokey.Aphids","",""
24,"Ants","Ants","",""
25,"Pale.Green.Notodontid","Pale.Green.Notodontid","",""
26,"Aspen.Leaf.Beetle","Aspen.Leaf.Beetle","",""
27,"Green.Sawfly","Green.Sawfly","",""
28,"Cotton.Scale","Cotton.Scale","",""
29,"Survey.Year","Survey.Year","",""
30,"survey.event","survey.event","",""
31,"Date","Date","",""
32,"Sex.Genet","Sex.Genet","",""
33,"PlantingDate","PlantingDate","",""
34,"Volume","Volume","",""
35,"ALA.all","ALA.all","",""
36,"SLA.all","SLA.all","",""
37,"BBreakDegDay.all","BBreakDegDay.all","",""
38,"EFNMean.all","EFNMean.all","",""
39,"CTsum","CTsum","",""
40,"PGsum","PGsum","",""
41,"Npct.all","Npct.all","",""
42,"Cpct.all","Cpct.all","",""
43,"thunderstorm.event","thunderstorm.event","",""
44,"avg.temp_F","avg.temp_F","",""
45,"rain.event","rain.event","",""
46,"fog.event","fog.event","",""
